name,channel_id,group,status,reason,url,checked_at
FAN,FAN.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://195.64.140.147:10066/66,2026-09-06T07:10:15.437356+00:00
FAN,FAN.ru,Мультфільми | RUS,unavailable,Network error: URLError: <urlopen error timed out>,http://31.210.208.171:8080/fan/index.m3u8?token=+W2MSER,2026-09-06T07:10:04.160805+00:00
FAN (1080p),FAN.ru,Мультфільми | RUS,unavailable,Network error: URLError: <urlopen error timed out>,http://31.148.48.15/Fan/index.m3u8,2026-09-06T06:52:46.266477+00:00
FAN (1080p),FAN.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://stream.mcquack.net/420/index.m3u8,2026-09-06T06:49:48.659099+00:00
Fan HD,FAN.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://5.9.11.197:57419/chu-404/mpegts,2026-09-06T07:09:56.732582+00:00
Fan HD,FAN.ru,Мультфільми | RUS,unavailable,HTTP 404: stream not found,http://arbiter.bolshoe.tv/?path=abr3/fan_hd/71/copy/playlist.m3u8&wmsAuthSign=c2VydmVyX3RpbWU9OS82LzIwMjYgNjo1MTozMiBBTSZoYXNoX3ZhbHVlPXhHMjRJNjlqOWFGSmQ4RURwU3RqZ0E9PSZ2YWxpZG1pbnV0ZXM9NzIwJmlkPTc3Nw==,2026-09-06T07:09:53.188643+00:00
Gulli Girl,GulliGirl.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://195.64.140.147:10122/122,2026-09-06T07:10:10.562422+00:00
Gulli girl,GulliGirl.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://45.145.32.13:20440/gulli_girl/index.m3u8?token=test,2026-09-06T07:09:52.189933+00:00
Gulli Girl,GulliGirl.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,https://flussonic.mkpnet.ru/tv-d66fcf59f2f4c966/video.m3u8,2026-09-06T07:09:57.373113+00:00
Gulli Girl,GulliGirl.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,https://stream8.cinerama.uz/1445/index.m3u8,2026-09-06T06:49:52.726844+00:00
Gulli Girl (720p),GulliGirl.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,https://stream8.cinerama.uz/1445/tracks-v1a1/mono.m3u8,2026-09-06T06:49:51.385274+00:00
Kapitan Fantastika (1080p),KapitanFantastika.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://stream.mcquack.net/144/index.m3u8,2026-09-06T06:49:49.010387+00:00
Kinomult HD,KinoMult.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://kinowalk.hopto.org/kinomult_hd_live,2026-09-06T07:10:03.090050+00:00
Mult (1080p),Mult.ru,Мультфільми | RUS,restricted,HTTP 403: access denied (possible geo/auth restriction),http://stream.mcquack.net/232/index.m3u8,2026-09-06T06:49:47.268066+00:00
Mult i muzyka (576p),Multimuzyka.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://hls127.freeott.top:8080/Mult_Muzika/video.m3u8,2026-09-06T06:49:49.355114+00:00
Mult International (576p),Mult.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,https://fs.uplink.kz/mult/mono.m3u8?token=onlinetv,2026-09-06T06:50:05.984615+00:00
Multilandia (576p),Multilandia.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,https://fs.uplink.kz/multilandia/mono.m3u8?token=onlinetv,2026-09-06T06:50:01.589216+00:00
Multimania (576p),Multimania.ru,Мультфільми | RUS,unavailable,"Network error: URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",http://sirius.greenhosting.ru/MultimaniaRu/video.m3u8,2026-09-06T06:49:47.216882+00:00
Nick Jr. (576p),NickJr.ru,Мультфільми | RUS,working,Video decoded successfully; audio stream present,http://stream.mcquack.net/220/index.m3u8,2026-09-06T06:49:48.458683+00:00
